Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Time
Conv1D_C128_1e-3,80,linear,0.6333333333333333,0.00012925033307207437,0.00012925033307207437,1.2597182,0.006590999193552611,1.0,0.007462612787882486
Conv1D_C128_1e-3,100,linear,0.3499999999999999,0.00013027170027877827,0.00013027170027877827,3.724572,0.007070396652028042,1.0,0.005546493530273438
UNet_C64_1e-4,100,linear,0.5166666666666666,0.00013077752635581418,0.00013077752635581418,1.2680098,0.006500005776882366,1.0,0.006419963836669922
Conv1D_C128_1e-3,100,linear,0.3,0.00013122127629079235,0.00013122127629079235,1.130288,0.00901778884852926,1.0,0.0053657563527425125
Conv1D_C128_1e-3,80,linear,0.35000000000000003,0.0001312363969918806,0.0001312363969918806,1.1380862,0.009098553710306684,1.0,0.009559725125630697
Conv1D_C128_1e-3,100,linear,0.5166666666666666,0.000131764970428776,0.000131764970428776,1.2706727,0.006614125407783528,1.0,0.007236250241597494
Conv1D_C128_5e-4,80,linear,0.35000000000000003,0.00013333182141650468,0.00013333182141650468,1.145597,0.009142069959392152,1.0,0.00639433224995931
UNet_C128_5e-4,100,linear,0.25,0.00013363019284345985,0.00013363019284345985,1.1402899,0.00910369557949404,1.0,0.0035080416997273767
Conv1D_C128_1e-3,120,linear,0.25,0.00013416562360362151,0.00013416562360362151,1.1502589,0.009217078601941465,1.0,0.0037573591868082686
UNet_C256_5e-4,100,linear,0.5666666666666667,0.00013435753028412972,0.00013435753028412972,1.2808089,0.006955623741038533,1.0,0.017688252131144208
UNet_C64_1e-4,80,linear,0.25,0.00013466821527496602,0.00013466821527496602,1.148868,0.009065853528057536,1.0,0.0021213086446126308
Conv1D_C128_5e-4,100,linear,0.5166666666666666,0.0001356710633748056,0.0001356710633748056,1.2877389,0.007279561625112668,1.0,0.009273319244384766
Conv1D_C32_5e-4,100,linear,0.25,0.00013676299146027306,0.00013676299146027306,6.7622952,0.006248230893276437,1.0,0.005150642395019531
UNet_C256_5e-4,100,linear,0.3499999999999999,0.0001373189342605959,0.0001373189342605959,1.158601,0.009207444437779485,1.0,0.009891123771667478
UNet_C256_5e-4,120,linear,0.3499999999999999,0.00013867032520162564,0.00013867032520162564,1.1665806,0.009225391127790014,1.0,0.02968701521555583
Conv1D_C32_5e-4,80,linear,0.35000000000000003,0.00013955170744641993,0.00013955170744641993,1.170899,0.009361844854429363,1.0,0.005003450711568196
UNet_C128_5e-4,120,linear,0.5166666666666666,0.00013970499974675474,0.00013970499974675474,1.303499,0.007075348339700819,1.0,0.00873555342356364
UNet_C256_5e-4,120,linear,0.5166666666666666,0.00013987066233918692,0.00013987066233918692,1.3091941,0.007052305094036153,1.0,0.025949214299519855
UNet_C128_5e-4,80,linear,0.3499999999999999,0.00014077102285227737,0.00014077102285227737,1.1761289,0.009395716382811467,1.0,0.0047147226333618154
UNet_C256_5e-4,80,linear,0.25,0.00014102427691492871,0.00014102427691492871,1.1753315,0.009326862784413,1.0,0.00393292268117269
UNet_C64_1e-4,80,linear,0.3,0.00014134151625815625,0.00014134151625815625,1.1703864,0.009299330534413458,1.0,0.0042533397674560545
Conv1D_C32_5e-4,120,linear,0.25,0.00014302549407148034,0.00014302549407148034,1.1836808,0.009446447053924202,1.0,0.004944708347320557
Conv1D_C128_1e-3,80,linear,0.3499999999999999,0.0001449947376871326,0.0001449947376871326,1.1928481,0.009484798246994615,1.0,0.005585686365763346
UNet_C128_5e-4,120,linear,0.3,0.0001459408527201352,0.0001459408527201352,1.1926165,0.009305136514206726,1.0,0.0038471015294392896
Conv1D_C32_5e-4,80,linear,0.3499999999999999,0.00014667125331470742,0.00014667125331470742,1.1967889,0.009544928825149934,1.0,0.005834315617879231
Conv1D_C32_5e-4,100,linear,0.3,0.00014685353307868353,0.00014685353307868353,1.1976043,0.009564859714979928,1.0,0.0063397598266601565
UNet_C128_5e-4,100,linear,0.6333333333333333,0.00014781706428038888,0.00014781706428038888,1.3443108,0.007604910531348045,1.0,0.012138876914978025
UNet_C128_5e-4,80,linear,0.3,0.00014843356485168139,0.00014843356485168139,1.2049116,0.009569250931963326,1.0,0.0030111773808797204
